pais,1998,2003,2008,2013,2018
Bolivia,8.3,19.9,13.4,44.1,51.1
Brasil,11.1,11.6,12.6,13.3,13.5
Chile,14.4,17.3,21.1,25.2,24.7
Colombia,10.3,12.9,14.5,17,17.6
Costa Rica,33.8,46.3,40.8,38.6,45.6
Cuba,17.6,21.8,21.8,34.6,35.5
Ecuador,8.3,29.7,31.7,28.6,30.9
El Salvador,0,22.3,20.9,26.2,30.1
Guatemala,5.1,4.2,8.8,0,12.7
Honduras,11.5,16.6,17.5,25.8,30.7
México,0,0,29.5,0,40.5
Nicaragua,0,0,24,50,50
Panamá,0,12.9,9.9,11.1,11
Paraguay,15.2,18.5,20.8,21.9,22.4
Perú,8.5,26.3,28.2,27.4,28.5
Puerto Rico,0,0,30,28.7,0
República Dominicana,25.5,29.9,26.8,33.2,33.1
Uruguay,13.9,15.3,17.1,17.8,25
Venezuela,18,18.2,0,0,0